Trajectories
100
,,Lo:LFHD,,,Lo:RFHD,,,Lo:LBHD,,,Lo:RBHD,,,Lo:C7,,,Lo:T10,,,Lo:CLAV,,,Lo:STRN,,,Lo:RBAK,,,Lo:LSHO,,,Lo:LUPA,,,Lo:LELB,,,Lo:LFRM,,,Lo:LWRA,,,Lo:LWRB,,,Lo:LFIN,,,Lo:RSHO,,,Lo:RUPA,,,Lo:RELB,,,Lo:RFRM,,,Lo:RWRA,,,Lo:RWRB,,,Lo:RFIN,,,Lo:LASI,,,Lo:RASI,,,Lo:LPSI,,,Lo:RPSI,,,Lo:LTHI,,,Lo:LKNE,,,Lo:LTIB,,,Lo:LANK,,,Lo:LHEE,,,Lo:LTOE,,,Lo:RTHI,,,Lo:RKNE,,,Lo:RTIB,,,Lo:RANK,,,Lo:RHEE,,,Lo:RTOE,,,Lo:R_Thumb,,,Lo:R_MidFinger,,,Lo:L_Thumb,,,Lo:L_MidFinger,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,49.5286,462.528,1789.84,-57.5307,486.322,1776.24,81.5173,631.152,1743.4,-4.21124,662.061,1733.73,7.77548,510.27,1485.46,-7.7128,490.312,1313.63,6.24659,638.137,1549.75,,,,-80.8865,696.682,1375.2,152.671,609.512,1525.5,279.649,576.171,1428.96,393.283,457.875,1388.42,,,,292.7,209.799,1400.95,362.374,199.786,1402.2,324.284,141.287,1430.74,-147.649,592.882,1544.87,-341.718,553.84,1395.62,-415.756,502.517,1364.8,,,,-357.558,257.629,1401.77,-424.679,254.227,1392.09,-400.366,199.471,1430.08,120.687,470.415,1025.97,-120.049,473.398,1037.06,82.6798,656.795,1050.38,-90.6978,662.225,1053.62,144.996,532.951,604.3,134.502,600.656,496.576,134.993,581.311,327.201,111.763,598.963,105.428,61.9097,649.31,73.769,104.644,463.461,68.0422,-195.18,555.294,742.27,-180.443,580.578,528.439,-202.74,573.576,387.974,-189.082,583.882,114.298,-143.564,631.246,78.3663,-179.724,449.824,73.4122,-320.788,146.721,1402.97,-393.764,93.8148,1423.2,260.647,93.8864,1373.12,309.572,39.5812,1418.14
2,0,49.515,462.45,1789.85,-57.5008,486.198,1776.25,81.4836,631.071,1743.42,-4.25912,662.053,1733.81,7.73656,510.247,1485.51,-7.73183,490.302,1313.69,6.19082,638.133,1549.78,,,,-81.015,697.796,1375.77,152.618,609.51,1525.53,279.56,576.199,1429,393.216,457.897,1388.44,,,,292.7,209.801,1400.93,362.336,199.811,1402.17,323.981,141.598,1430.68,-147.709,592.874,1544.88,-341.731,553.841,1395.65,-415.81,502.515,1364.79,,,,-357.641,257.64,1401.74,-424.757,254.218,1392.09,-400.442,199.487,1430.1,120.61,470.461,1026.01,-120.126,473.414,1037.11,82.6051,656.824,1050.4,-90.7579,662.299,1053.68,144.97,533.054,604.319,134.485,600.724,496.611,134.979,581.383,327.202,111.756,598.975,105.446,61.9206,649.327,73.7745,104.649,463.441,68.0674,-195.26,555.428,742.326,-180.557,580.71,528.501,-202.811,573.571,387.993,-189.371,584.211,114.389,-143.587,631.242,78.3324,-179.731,449.866,73.4446,-320.894,146.723,1403.02,-393.87,93.8286,1423.21,260.666,93.9469,1373.04,309.591,39.6011,1418.06
3,0,49.4696,462.34,1789.76,-57.5686,486.116,1776.23,81.4383,630.973,1743.44,-4.30606,661.985,1733.87,7.64359,510.232,1485.5,-7.7909,490.289,1313.66,6.14316,638.104,1549.79,,,,-81.0717,697.751,1375.79,152.549,609.489,1525.52,279.504,576.181,1428.99,393.17,457.906,1388.43,,,,292.677,209.793,1400.86,362.309,199.814,1402.11,323.957,141.575,1430.61,-147.763,592.841,1544.85,-341.776,553.799,1395.61,-415.865,502.516,1364.77,,,,-357.727,257.592,1401.7,-424.843,254.207,1392.06,-400.525,199.47,1430.06,120.485,470.448,1025.97,-120.217,473.436,1037.08,82.5706,656.843,1050.44,-90.782,662.31,1053.7,144.944,533.018,604.34,134.469,600.709,496.568,134.944,581.353,327.166,111.77,598.961,105.408,61.9127,649.314,73.7713,104.681,463.448,68.0472,-195.367,555.479,742.32,-180.664,580.752,528.47,-202.913,573.768,387.946,-189.411,584.221,114.332,-143.606,631.263,78.3368,-179.75,449.871,73.4545,-320.981,146.676,1403.02,-393.976,93.802,1423.2,260.643,93.9354,1372.93,309.585,39.5962,1418
4,0,49.4365,462.224,1789.72,-57.5802,485.984,1776.18,81.3992,630.895,1743.46,-4.3615,661.931,1733.89,7.60018,510.257,1485.45,-7.8664,490.297,1313.61,6.07086,638.096,1549.79,,,,-81.2008,698.71,1376.19,152.479,609.473,1525.5,279.461,576.172,1428.99,393.115,457.928,1388.42,,,,292.632,209.8,1400.81,362.294,199.813,1402.08,323.944,141.605,1430.54,-147.831,592.826,1544.83,-341.841,553.81,1395.59,-415.921,502.507,1364.73,,,,-357.785,257.599,1401.72,-424.931,254.222,1392.04,-400.618,199.486,1430.03,120.374,470.463,1025.95,-120.355,473.493,1037.1,82.5083,656.831,1050.44,-90.8763,662.341,1053.71,144.888,533.042,604.306,134.437,600.733,496.557,134.971,581.369,327.179,111.762,598.924,105.394,61.9252,649.341,73.7909,104.654,463.449,68.049,-195.466,555.586,742.329,-180.778,580.812,528.444,-202.976,573.873,387.949,-189.46,584.259,114.319,-143.63,631.267,78.3148,-179.781,449.889,73.4516,-321.071,146.68,1403,-394.077,93.8227,1423.19,260.611,93.9605,1372.8,309.572,39.5875,1417.9
5,0,49.4456,462.114,1789.69,-57.6144,485.893,1776.21,81.3555,630.812,1743.46,-4.41475,661.761,1733.89,7.53632,510.252,1485.47,-7.90756,490.316,1313.63,6.03282,638.1,1549.79,-1.4184,689.664,1302.01,-81.1916,698.696,1376.22,152.424,609.469,1525.53,279.397,576.203,1428.99,393.093,457.963,1388.44,,,,292.627,209.85,1400.8,362.291,199.865,1402.06,323.956,141.592,1430.51,-147.903,592.828,1544.85,-341.864,553.82,1395.57,-415.982,502.527,1364.73,,,,-357.852,257.63,1401.75,-425.017,254.254,1392.05,-400.714,199.516,1430.04,120.26,470.506,1025.97,-120.468,473.529,1037.14,82.4457,656.835,1050.43,-90.9235,662.384,1053.72,144.796,533.065,604.304,134.402,600.762,496.589,134.959,581.374,327.182,111.765,598.961,105.393,61.9236,649.329,73.7674,104.669,463.457,68.0416,-195.511,555.639,742.368,-180.86,580.896,528.484,-203.013,574.375,387.26,-189.461,584.26,114.363,-143.673,631.253,78.338,-179.711,449.696,73.5802,-321.155,146.676,1403.02,-394.236,93.7666,1423.2,261.132,93.9019,1372.63,309.566,39.6112,1417.84
6,0,49.4432,461.976,1789.64,-57.5955,485.776,1776.16,81.2991,630.742,1743.49,-4.46523,661.656,1733.95,7.44694,510.297,1485.39,-7.93835,490.28,1313.6,5.9754,638.068,1549.81,-1.46441,689.653,1302,-81.2426,698.657,1376.24,152.395,609.441,1525.52,279.357,576.225,1429.01,393.064,457.96,1388.43,,,,292.602,209.842,1400.77,362.275,199.883,1402.01,323.943,141.59,1430.44,-147.945,592.805,1544.84,-341.902,553.805,1395.55,-416.038,502.514,1364.71,,,,-357.941,257.593,1401.7,-425.08,254.227,1392.05,-400.772,199.504,1430.03,120.162,470.492,1025.94,-120.558,473.539,1037.12,82.3702,656.802,1050.43,-90.9855,662.443,1053.77,144.678,533.061,604.265,134.344,600.775,496.576,134.894,581.37,327.179,111.785,598.93,105.404,61.9419,649.331,73.7753,104.658,463.467,68.0366,-195.564,555.647,742.356,-180.854,580.877,528.457,-202.899,573.497,387.492,-189.465,584.235,114.337,-143.637,631.23,78.3227,-179.787,449.885,73.4727,-321.221,146.668,1403.05,-394.304,93.75,1423.21,261.134,93.948,1372.55,309.569,39.6345,1417.77
7,0,49.4167,461.863,1789.62,-57.5872,485.643,1776.13,81.2586,630.664,1743.54,-4.49959,661.572,1734.02,7.37824,510.294,1485.4,-8.01705,490.267,1313.62,5.93162,638.058,1549.84,-1.51662,689.691,1302.06,-81.2799,698.646,1376.23,152.337,609.407,1525.55,279.332,576.192,1429.01,393.036,457.986,1388.43,,,,292.587,209.846,1400.71,362.242,199.896,1401.97,323.929,141.588,1430.39,-147.987,592.796,1544.84,-341.936,553.826,1395.52,-416.1,502.503,1364.72,,,,-358.012,257.614,1401.72,-425.142,254.259,1392.05,-400.853,199.501,1430.04,120.053,470.468,1025.96,-120.656,473.561,1037.11,82.3023,656.795,1050.45,-91.0604,662.457,1053.75,144.608,533.059,604.286,134.265,600.752,496.566,134.863,581.379,327.197,111.759,598.941,105.424,61.914,649.368,73.8307,104.639,463.46,68.0729,-195.584,555.7,742.371,-180.869,580.89,528.46,-203.03,573.822,387.835,-189.462,584.234,114.347,-143.659,631.263,78.3249,-179.774,449.868,73.4729,-321.273,146.689,1403.06,-394.379,93.7691,1423.24,261.103,93.9459,1372.42,309.545,39.6501,1417.69
8,0,49.3866,461.776,1789.58,-57.6386,485.564,1776.14,81.2098,630.569,1743.51,-4.5494,661.476,1734.04,7.33029,510.272,1485.41,-8.09175,490.261,1313.63,5.87782,638.034,1549.84,-1.58571,689.661,1302.08,-81.3734,698.505,1376.09,152.298,609.379,1525.54,279.307,576.152,1429.01,393.029,458.015,1388.42,,,,292.559,209.884,1400.64,362.251,199.895,1401.93,323.943,141.604,1430.33,-148.045,592.783,1544.85,-341.958,553.821,1395.51,-416.137,502.506,1364.7,,,,-358.054,257.616,1401.74,-425.207,254.276,1392.03,-400.903,199.523,1430.03,119.974,470.461,1025.95,-120.761,473.569,1037.14,82.2264,656.773,1050.45,-91.1396,662.451,1053.77,144.518,533.062,604.292,134.199,600.766,496.62,134.842,581.38,327.239,111.766,598.946,105.443,61.905,649.347,73.8193,104.633,463.452,68.0503,-195.63,555.726,742.396,-180.88,580.905,528.495,-203.011,573.848,387.91,-189.45,584.242,114.367,-143.661,631.26,78.3528,-179.785,449.84,73.4756,-321.32,146.703,1403.09,-394.442,93.789,1423.24,260.62,94.0816,1372.43,309.519,39.6458,1417.62
9,0,49.0722,461.843,1789.32,-57.6257,485.413,1776.09,81.1614,630.475,1743.53,-4.58615,661.396,1734.07,7.26718,510.297,1485.31,-8.13961,490.206,1313.56,5.8441,637.978,1549.82,-1.63557,689.638,1302.09,-81.3423,698.568,1376.23,152.275,609.305,1525.51,279.269,576.161,1428.99,393.001,457.996,1388.36,,,,292.564,209.857,1400.56,362.243,199.89,1401.82,323.954,141.562,1430.22,-148.087,592.745,1544.83,-341.996,553.811,1395.48,-416.177,502.482,1364.64,,,,-358.092,257.597,1401.66,-425.232,254.216,1391.95,-400.932,199.492,1429.97,119.914,470.44,1025.89,-120.811,473.512,1037.11,82.145,656.744,1050.44,-91.21,662.446,1053.78,144.436,533.017,604.282,134.14,600.717,496.551,134.82,581.351,327.19,111.774,598.909,105.381,61.8895,649.315,73.7824,104.657,463.433,68.0541,-195.716,555.643,742.328,-180.864,580.838,528.441,-202.758,573.187,387.879,-189.436,584.211,114.338,-143.635,631.253,78.3568,-179.763,449.838,73.465,-321.328,146.679,1403.03,-394.457,93.7651,1423.16,260.641,94.0138,1372.28,309.528,39.6283,1417.53
